:ID,name,:LABEL,aliases,description,source
ent_d18c63f49cbebdb8,ICU sleep fragmentation,Entity:Sleep_Pattern,ICU sleep fragmentation,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_3f44ac4ab6b4496b,travel-related circadian disruption,Entity:Sleep_Pattern,travel-related circadian disruption,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_92a11294a8311ec8,exam-period sleep restriction,Entity:Sleep_Pattern,exam-period sleep restriction,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_a06b2ee7644fe329,workload-related sleep loss,Entity:Sleep_Pattern,workload-related sleep loss,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_a1c3ffff92754c37,ruminative pre-sleep pattern,Entity:Sleep_Pattern,ruminative pre-sleep pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_b9cd86b89051f7e5,anxious hypervigilant sleep pattern,Entity:Sleep_Pattern,anxious hypervigilant sleep pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_74d60f3245bcc41c,depressive hypersomnia pattern,Entity:Sleep_Pattern,depressive hypersomnia pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_c9e31913acfaf8b2,depressive insomnia pattern,Entity:Sleep_Pattern,depressive insomnia pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_bbce65aa3581df21,mixed insomnia-hypersomnia pattern,Entity:Sleep_Pattern,mixed insomnia-hypersomnia pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_8d99c70e17167ebf,stabilized sleep routine pattern,Entity:Sleep_Pattern,stabilized sleep routine pattern,Sleep pattern entity for longitudinal sleep-emotion analysis.,seed
ent_74fac922f4f8f5f6,wake stage,Entity:Sleep_Stage,wake stage,Sleep stage or transitional stage entity.,seed
ent_825af354c0b557db,NREM sleep,Entity:Sleep_Stage,NREM sleep,Sleep stage or transitional stage entity.,seed
ent_45244f1b355a22b7,stage W,Entity:Sleep_Stage,stage W,Sleep stage or transitional stage entity.,seed
ent_e7fee27a66044bf4,stage R,Entity:Sleep_Stage,stage R,Sleep stage or transitional stage entity.,seed
ent_2559fe63d128c0c3,micro-arousal,Entity:Sleep_Stage,micro-arousal,Sleep stage or transitional stage entity.,seed
ent_7bc5cb514ca5e9ca,sleep cycle transition,Entity:Sleep_Stage,sleep cycle transition,Sleep stage or transitional stage entity.,seed
ent_f9f986f4f92b15fb,first sleep cycle,Entity:Sleep_Stage,first sleep cycle,Sleep stage or transitional stage entity.,seed
ent_8d4782b07e2422d7,late-night REM period,Entity:Sleep_Stage,late-night REM period,Sleep stage or transitional stage entity.,seed
ent_826c8943cccfdfdf,slow-wave rebound,Entity:Sleep_Stage,slow-wave rebound,Sleep stage or transitional stage entity.,seed
ent_e06865bd04508d0a,REM rebound,Entity:Sleep_Stage,REM rebound,Sleep stage or transitional stage entity.,seed
ent_e1d002db914edbbf,stage transition instability,Entity:Sleep_Stage,stage transition instability,Sleep stage or transitional stage entity.,seed
ent_4d6239b78ff34bdb,N1-N2 transition,Entity:Sleep_Stage,N1-N2 transition,Sleep stage or transitional stage entity.,seed
ent_9c7d9a0c240d82b7,N2-N3 transition,Entity:Sleep_Stage,N2-N3 transition,Sleep stage or transitional stage entity.,seed
ent_520c65d3d7791b17,NREM-REM transition,Entity:Sleep_Stage,NREM-REM transition,Sleep stage or transitional stage entity.,seed
ent_b9cde001a1e90a4a,sleep efficiency,Entity:Biomarker,"se, sleep efficiency",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_b6a7b2973c47b1a4,total sleep time,Entity:Biomarker,"total sleep time, tst",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_0acb8e46882a6bed,sleep latency,Entity:Biomarker,sleep latency,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_661da863b707846f,wake after sleep onset,Entity:Biomarker,"wake after sleep onset, waso",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_8d9112054bdac924,arousal index,Entity:Biomarker,arousal index,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_b36ce974f86f7096,sleep spindle density,Entity:Biomarker,sleep spindle density,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_855d162a56608783,K-complex density,Entity:Biomarker,K-complex density,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_ca186358c0fc4551,delta power during sleep,Entity:Biomarker,delta power during sleep,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_9f06c1c618606139,theta power during sleep,Entity:Biomarker,theta power during sleep,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_0180fa9ae198f6ef,alpha power during sleep,Entity:Biomarker,alpha power during sleep,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_691577fbfa9f368c,beta power during sleep,Entity:Biomarker,beta power during sleep,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_a91a35a26da991b3,REM density,Entity:Biomarker,REM density,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_f5acf9adb1501e5b,REM latency,Entity:Biomarker,REM latency,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_e0df6a4280a381ef,N3 proportion,Entity:Biomarker,N3 proportion,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_146366df26ea13c8,N2 proportion,Entity:Biomarker,N2 proportion,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_3b322a481186ecf9,N1 proportion,Entity:Biomarker,N1 proportion,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_f4d3baaaf1982fbc,heart rate variability during sleep,Entity:Biomarker,heart rate variability during sleep,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_25eff632b4cc6fe2,nocturnal cortisol level,Entity:Biomarker,nocturnal cortisol level,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_a3cb4fcf6fad4ef8,dim light melatonin onset,Entity:Biomarker,"dim light melatonin onset, dlmo",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_ac462158c200406b,actigraphy-derived sleep regularity,Entity:Biomarker,actigraphy-derived sleep regularity,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_c986c6f3534905eb,polysomnography index,Entity:Biomarker,polysomnography index,Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed
ent_9f4939648784fae9,joy,Entity:Emotion,joy,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_7747c9c145c6e67a,happiness,Entity:Emotion,happiness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_7aa5bd4d3bb4fca3,cheerfulness,Entity:Emotion,cheerfulness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_28a3ebe8125211ac,contentment,Entity:Emotion,contentment,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_8dd0a18747c4436e,satisfaction,Entity:Emotion,satisfaction,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_cb18d9c08168c784,relief,Entity:Emotion,relief,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_423727bcef052f3d,gratitude,Entity:Emotion,gratitude,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_7f2cd8b9cfde4b62,hope,Entity:Emotion,hope,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_ba397d9948dd9ecd,optimism,Entity:Emotion,optimism,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_80f9b5ad97f83dd0,pride,Entity:Emotion,pride,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_d60defb94595ab04,amusement,Entity:Emotion,amusement,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_2b86188d05498211,awe,Entity:Emotion,awe,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_2547f9f5569eb2a4,interest,Entity:Emotion,interest,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_2c27521f953099e6,curiosity,Entity:Emotion,curiosity,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_d5a79b77339a7594,calmness,Entity:Emotion,calmness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_c70d3861f176902e,serenity,Entity:Emotion,serenity,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_7bd881e8f27eb781,tranquility,Entity:Emotion,tranquility,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_43fd6d4a3e289889,compassion,Entity:Emotion,compassion,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_d41c20abc12ce5ee,love,Entity:Emotion,love,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_a80510d19d3bb173,affection,Entity:Emotion,affection,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_8e1963a43e1eade9,warmth,Entity:Emotion,warmth,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_cfe4a33ed14fd5d5,trust,Entity:Emotion,trust,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_83eb6ef7367a927d,confidence,Entity:Emotion,confidence,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_f286c7057e0a8605,self-confidence,Entity:Emotion,self-confidence,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_a72b01afbb87c8aa,enthusiasm,Entity:Emotion,enthusiasm,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_cdd52878732cec94,excitement,Entity:Emotion,excitement,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_5a6024d21caa5a97,anticipation,Entity:Emotion,anticipation,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_984dc7f99750fb0b,motivation,Entity:Emotion,motivation,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_28fd6bff5662892b,vitality,Entity:Emotion,vitality,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_6935d5f9b2fb6558,emotional stability,Entity:Emotion,emotional stability,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_a4f1a1019567156b,depressed mood,Entity:Emotion,depressed mood,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_ad4695901e72afdd,dysphoria,Entity:Emotion,dysphoria,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_621daf0c1e88c26e,melancholy,Entity:Emotion,melancholy,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_ea47b13c440fecbd,grief,Entity:Emotion,grief,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_0ef66bb1482968ff,emptiness,Entity:Emotion,emptiness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_57d295d6d4ee382b,emotional numbness,Entity:Emotion,emotional numbness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_3cdb9c706d83c19b,anxiety,Entity:Emotion,anxiety,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_9d54260330acdc44,worry,Entity:Emotion,worry,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_2cf303d632131b1f,apprehension,Entity:Emotion,apprehension,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_8876d85b85553911,fear,Entity:Emotion,fear,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_c90ae032a38eae00,panic,Entity:Emotion,panic,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_8d5f6c95675abd0d,nervousness,Entity:Emotion,nervousness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_c440ee0e1556d7f4,tension,Entity:Emotion,tension,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_ee2d50e9cdb68b4b,irritability,Entity:Emotion,irritability,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_d0fd45739678a45b,anger,Entity:Emotion,anger,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_11fffb9fcc435091,frustration,Entity:Emotion,frustration,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_5f4639b3277a568d,hostility,Entity:Emotion,hostility,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_f4077b3c6b8b45cb,resentment,Entity:Emotion,resentment,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_1e3dd30ad2ef6e80,rage,Entity:Emotion,rage,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_5188928bde44770b,shame,Entity:Emotion,shame,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_157fd6a045eda078,self-blame,Entity:Emotion,self-blame,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_9334cc89f1c33e94,embarrassment,Entity:Emotion,embarrassment,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_304c177e94849b3a,worthlessness,Entity:Emotion,worthlessness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_80983c144f76473e,helplessness,Entity:Emotion,helplessness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_c3160a6a6f9af5db,social pain,Entity:Emotion,social pain,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_cc649062177a7723,jealousy,Entity:Emotion,jealousy,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_c45a23b2380d9451,envy,Entity:Emotion,envy,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_373da4349803832f,disappointment,Entity:Emotion,disappointment,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_c979053685b4f5b9,regret,Entity:Emotion,regret,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_2f1fde659abe90e2,bitterness,Entity:Emotion,bitterness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_cf219381fe900193,despair,Entity:Emotion,despair,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_e3cae8a9b31cc682,apathy,Entity:Emotion,apathy,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_1198be69c6a1c6db,amotivation,Entity:Emotion,amotivation,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_67c4de75e5a5f404,emotional blunting,Entity:Emotion,emotional blunting,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_5d4c8937ebfe4f23,alexithymia,Entity:Emotion,alexithymia,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_6cb8ef1daae6053f,emotional lability,Entity:Emotion,emotional lability,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_27293149938ced9a,mood swings,Entity:Emotion,mood swings,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_c09cb815870042f8,affective instability,Entity:Emotion,affective instability,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_ccc267ca7ce60801,tearfulness,Entity:Emotion,tearfulness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_b9d336b8bb15bb9f,emotional reactivity,Entity:Emotion,emotional reactivity,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_7b45ec3677df7f1e,emotional sensitivity,Entity:Emotion,emotional sensitivity,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_582f9013f10f688c,rejection sensitivity,Entity:Emotion,rejection sensitivity,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_e112220a6d85345b,rumination,Entity:Emotion,rumination,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_8ffce05436d7319d,catastrophizing,Entity:Emotion,catastrophizing,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_2bd3dae3d0244f86,self-criticism,Entity:Emotion,self-criticism,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_da07123aaf38e602,self-compassion,Entity:Emotion,self-compassion,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_2cc5a28ee1b87689,emotional avoidance,Entity:Emotion,emotional avoidance,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_a5c3245fb4d4c4c7,suppressed anger,Entity:Emotion,suppressed anger,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_c72d69343660e07b,suppressed sadness,Entity:Emotion,suppressed sadness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_801324a14f15adfc,suppressed anxiety,Entity:Emotion,suppressed anxiety,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_6d2747a996c92aea,social anxiety,Entity:Emotion,social anxiety,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_c1ca705b5fad080c,performance anxiety,Entity:Emotion,performance anxiety,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_ba11ce682aa8d09b,health anxiety,Entity:Emotion,health anxiety,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_13d7e4754708bb7b,separation anxiety,Entity:Emotion,separation anxiety,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_31facb196bd560bd,anticipatory anxiety,Entity:Emotion,anticipatory anxiety,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_b47a84a2a7e5262f,state anxiety,Entity:Emotion,state anxiety,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_b96c81d478568a93,trait anxiety,Entity:Emotion,trait anxiety,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_491e02f34fe80262,state anger,Entity:Emotion,state anger,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_8b6ffb0c8c7729bd,trait anger,Entity:Emotion,trait anger,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_26066693ed56f602,persistent sadness,Entity:Emotion,persistent sadness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_2fc22025ba3f097b,mixed affective state,Entity:Emotion,mixed affective state,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_08e452ac572f2685,blunted positive affect,Entity:Emotion,blunted positive affect,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_b1a27893b2220a8e,low positive affect,Entity:Emotion,low positive affect,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_b9a597a396baf202,high negative affect,Entity:Emotion,high negative affect,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_b4db8a8f8f5558f6,emotional exhaustion,Entity:Emotion,emotional exhaustion,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_ab6b1dae4255ee5e,burnout-related affect,Entity:Emotion,burnout-related affect,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_17b6f00bdf05b4a4,demoralization,Entity:Emotion,demoralization,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_f0a12b34ffb296f3,discouragement,Entity:Emotion,discouragement,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_1ccd4eb4dcc556bd,emotional detachment,Entity:Emotion,emotional detachment,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_f502d400bdc61b5d,emotional overwhelm,Entity:Emotion,emotional overwhelm,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_e7f5c6437801323b,emotional pain,Entity:Emotion,emotional pain,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_cf665b647de00edc,psychological distress,Entity:Emotion,psychological distress,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_a0470b6109607308,inner tension,Entity:Emotion,inner tension,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_e0f8e9fb9abe0a90,restlessness,Entity:Emotion,restlessness,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_92330c48e1dcee69,agitation,Entity:Emotion,agitation,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_eb2a229467bb0c4d,psychomotor agitation affect,Entity:Emotion,psychomotor agitation affect,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_b9c11f87dc61202b,psychomotor retardation affect,Entity:Emotion,psychomotor retardation affect,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_b917edc334f953dc,fear of failure,Entity:Emotion,fear of failure,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_5a33a97820bea1a5,fear of rejection,Entity:Emotion,fear of rejection,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_1309cd6e148ef3e4,fear of judgment,Entity:Emotion,fear of judgment,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_650de42ecaf15326,interpersonal insecurity,Entity:Emotion,interpersonal insecurity,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_17b8f6e855a601c3,attachment anxiety,Entity:Emotion,attachment anxiety,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_2916af2a2cb4b04b,attachment avoidance,Entity:Emotion,attachment avoidance,Emotion-related entity for affective recognition and depression KG expansion.,seed
ent_cf04423013376268,positive affect,Entity:Affect_Dimension,positive affect,Affect dimension for structured emotion representation.,seed
ent_1a2c00134f9f0033,negative affect,Entity:Affect_Dimension,negative affect,Affect dimension for structured emotion representation.,seed
ent_12cef8df795ac564,valence,Entity:Affect_Dimension,valence,Affect dimension for structured emotion representation.,seed
ent_c4a2bffef545d659,arousal,Entity:Affect_Dimension,arousal,Affect dimension for structured emotion representation.,seed
ent_7c49e276477b3a7b,dominance,Entity:Affect_Dimension,dominance,Affect dimension for structured emotion representation.,seed
ent_5a8e878801b1da5c,emotional intensity,Entity:Affect_Dimension,emotional intensity,Affect dimension for structured emotion representation.,seed
ent_03fd0bf35b70755f,emotion granularity,Entity:Affect_Dimension,emotion granularity,Affect dimension for structured emotion representation.,seed
ent_9805f3a5b43a8d87,affect variability,Entity:Affect_Dimension,affect variability,Affect dimension for structured emotion representation.,seed
ent_9e3a25de455223bf,affect inertia,Entity:Affect_Dimension,affect inertia,Affect dimension for structured emotion representation.,seed
ent_07cbdd4f0a6090aa,mood congruence,Entity:Affect_Dimension,mood congruence,Affect dimension for structured emotion representation.,seed
ent_81f4373cbba81c5b,emotional clarity,Entity:Affect_Dimension,emotional clarity,Affect dimension for structured emotion representation.,seed
ent_0382b01a31f55d3d,emotional awareness,Entity:Affect_Dimension,emotional awareness,Affect dimension for structured emotion representation.,seed
ent_7febffe56e7faee2,emotional coherence,Entity:Affect_Dimension,emotional coherence,Affect dimension for structured emotion representation.,seed
ent_260f4c579f624132,affective chronometry,Entity:Affect_Dimension,affective chronometry,Affect dimension for structured emotion representation.,seed
ent_3f61f4662552fb72,stress reactivity,Entity:Affect_Dimension,stress reactivity,Affect dimension for structured emotion representation.,seed
ent_bb64c4918846af3f,reward sensitivity,Entity:Affect_Dimension,reward sensitivity,Affect dimension for structured emotion representation.,seed
ent_c839f010252a3aed,punishment sensitivity,Entity:Affect_Dimension,punishment sensitivity,Affect dimension for structured emotion representation.,seed
ent_e67ef4bb166cef93,threat sensitivity,Entity:Affect_Dimension,threat sensitivity,Affect dimension for structured emotion representation.,seed
ent_998f388c945afa85,social reward sensitivity,Entity:Affect_Dimension,social reward sensitivity,Affect dimension for structured emotion representation.,seed
ent_acbca396b25ab912,emotion differentiation,Entity:Affect_Dimension,emotion differentiation,Affect dimension for structured emotion representation.,seed
ent_49f8cde2f2b99f44,cognitive reappraisal,Entity:Emotion_Regulation,"cognitive reappraisal, reappraisal",Emotion regulation strategy entity.,seed
ent_1bb2a2c9a03d36a8,expressive suppression,Entity:Emotion_Regulation,"expressive suppression, suppression strategy",Emotion regulation strategy entity.,seed
ent_7e4e98ec0dbf6106,mindfulness,Entity:Emotion_Regulation,mindfulness,Emotion regulation strategy entity.,seed
ent_3a112a17ced84759,acceptance,Entity:Emotion_Regulation,acceptance,Emotion regulation strategy entity.,seed
ent_b58a24f0e2739731,problem-solving coping,Entity:Emotion_Regulation,problem-solving coping,Emotion regulation strategy entity.,seed
ent_52c59469e048a31d,emotion labeling,Entity:Emotion_Regulation,emotion labeling,Emotion regulation strategy entity.,seed
ent_839b418af587653e,affect naming,Entity:Emotion_Regulation,affect naming,Emotion regulation strategy entity.,seed
ent_378650e296e3504b,self-soothing,Entity:Emotion_Regulation,self-soothing,Emotion regulation strategy entity.,seed
ent_dba03abf98063ae8,distress tolerance,Entity:Emotion_Regulation,distress tolerance,Emotion regulation strategy entity.,seed
ent_aa3dce89693355e1,grounding technique,Entity:Emotion_Regulation,grounding technique,Emotion regulation strategy entity.,seed
ent_aaaacaa136416855,breathing regulation,Entity:Emotion_Regulation,breathing regulation,Emotion regulation strategy entity.,seed
ent_b17da8de2e407729,progressive muscle relaxation,Entity:Emotion_Regulation,progressive muscle relaxation,Emotion regulation strategy entity.,seed
ent_1cdab7063073aefc,behavioral activation,Entity:Emotion_Regulation,behavioral activation,Emotion regulation strategy entity.,seed
ent_c00bd59a36ebf081,opposite action strategy,Entity:Emotion_Regulation,opposite action strategy,Emotion regulation strategy entity.,seed
ent_23fd8b1e8bfb7692,attentional deployment,Entity:Emotion_Regulation,attentional deployment,Emotion regulation strategy entity.,seed
ent_c609032b77ee2c88,response modulation,Entity:Emotion_Regulation,response modulation,Emotion regulation strategy entity.,seed
ent_1f1715124ecb4773,situation selection,Entity:Emotion_Regulation,situation selection,Emotion regulation strategy entity.,seed
ent_bbfc6868d891879f,situation modification,Entity:Emotion_Regulation,situation modification,Emotion regulation strategy entity.,seed
ent_778954eb563fd607,rumination reduction,Entity:Emotion_Regulation,rumination reduction,Emotion regulation strategy entity.,seed
ent_d636e8103320c2f6,worry postponement,Entity:Emotion_Regulation,worry postponement,Emotion regulation strategy entity.,seed
ent_c218cc3c78c51d1f,compassion practice,Entity:Emotion_Regulation,compassion practice,Emotion regulation strategy entity.,seed
ent_3472b14c68f8c895,gratitude practice,Entity:Emotion_Regulation,gratitude practice,Emotion regulation strategy entity.,seed
ent_f215eacd5e0f0c00,sleep hygiene adherence,Entity:Emotion_Regulation,sleep hygiene adherence,Emotion regulation strategy entity.,seed
ent_7237e14767c16337,stimulus control for insomnia,Entity:Emotion_Regulation,stimulus control for insomnia,Emotion regulation strategy entity.,seed
ent_29052d67150bb922,sleep restriction therapy,Entity:Emotion_Regulation,sleep restriction therapy,Emotion regulation strategy entity.,seed
ent_e9521dc6d49882be,relaxation training,Entity:Emotion_Regulation,relaxation training,Emotion regulation strategy entity.,seed
ent_a5d9bde43dc67092,imagery rehearsal therapy,Entity:Emotion_Regulation,imagery rehearsal therapy,Emotion regulation strategy entity.,seed
ent_31f1f06582eb2c44,biofeedback regulation,Entity:Emotion_Regulation,biofeedback regulation,Emotion regulation strategy entity.,seed
ent_c6d00f5f63d21a0a,heart rate variability biofeedback,Entity:Emotion_Regulation,heart rate variability biofeedback,Emotion regulation strategy entity.,seed
ent_08a703c0b468c9e2,cognitive defusion,Entity:Emotion_Regulation,cognitive defusion,Emotion regulation strategy entity.,seed
ent_b2e53fadb82f938c,values-based action,Entity:Emotion_Regulation,values-based action,Emotion regulation strategy entity.,seed
ent_db1e7630bd71cc98,social support seeking,Entity:Emotion_Regulation,social support seeking,Emotion regulation strategy entity.,seed
ent_1391aa0dea8fa8dc,PANAS,Entity:Scale,PANAS,"Scale used to assess emotion, stress, or affective symptoms.",seed
ent_641b0ef852051cea,positive and negative affect schedule,Entity:Scale,"panas scale, positive and negative affect schedule","Scale used to assess emotion, stress, or affective symptoms.",seed
ent_9c779fba47ed517b,DERS,Entity:Scale,DERS,"Scale used to assess emotion, stress, or affective symptoms.",seed
ent_d5a8393f6db81a90,difficulties in emotion regulation scale,Entity:Scale,"ders scale, difficulties in emotion regulation scale","Scale used to assess emotion, stress, or affective symptoms.",seed
ent_4b88269375c26d2f,ERQ,Entity:Scale,ERQ,"Scale used to assess emotion, stress, or affective symptoms.",seed
ent_4fb262cfb40b7b36,emotion regulation questionnaire,Entity:Scale,"emotion regulation questionnaire, erq scale","Scale used to assess emotion, stress, or affective symptoms.",seed
ent_59506bf620f62e81,POMS,Entity:Scale,POMS,"Scale used to assess emotion, stress, or affective symptoms.",seed
ent_c761572edbf67bb5,profile of mood states,Entity:Scale,profile of mood states,"Scale used to assess emotion, stress, or affective symptoms.",seed
ent_b74e0c0250fd8ccf,STAI,Entity:Scale,STAI,"Scale used to assess emotion, stress, or affective symptoms.",seed
