entity_id,canonical_name,entity_type,aliases_json,description,source,source_id,created_at,updated_at
ent_cfda9e95143670df,eveningness preference,sleep_symptom,"[""eveningness preference""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_c148c0618e971c8b,morningness preference,sleep_symptom,"[""morningness preference""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_65af3fe6573e8bb5,nap dependency,sleep_symptom,"[""nap dependency""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_e10f51b855b0d8a8,long daytime naps,sleep_symptom,"[""long daytime naps""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9bc102a9a59dcebb,frequent daytime naps,sleep_symptom,"[""frequent daytime naps""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d04196e1e06f246d,unrefreshing naps,sleep_symptom,"[""unrefreshing naps""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_46997d9147f62569,micro-sleeps,sleep_symptom,"[""micro-sleeps""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_cda53a59004c2914,sleep drunkenness,sleep_symptom,"[""sleep drunkenness""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_28d9ef59d77b973d,sleep paralysis,sleep_symptom,"[""sleep paralysis""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_a97309c656679c8e,hypnagogic hallucinations,sleep_symptom,"[""hypnagogic hallucinations""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_f61a01d4f99c80d0,hypnopompic hallucinations,sleep_symptom,"[""hypnopompic hallucinations""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_56a0c6a17369e214,cataplexy-like episodes,sleep_symptom,"[""cataplexy-like episodes""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_b20058f91d399fc2,snoring,sleep_symptom,"[""snoring""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_acbe07a720cc5c01,witnessed apnea,sleep_symptom,"[""witnessed apnea""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_187f0940543fdd0f,sleep-disordered breathing,sleep_symptom,"[""sleep-disordered breathing""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_02d178042dc5469a,obstructive sleep apnea symptoms,sleep_symptom,"[""obstructive sleep apnea symptoms""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_3a873f24acce4dd6,noisy breathing during sleep,sleep_symptom,"[""noisy breathing during sleep""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_531289758de3c89b,mouth breathing during sleep,sleep_symptom,"[""mouth breathing during sleep""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_e9f3c65df4b3d12d,dry mouth on waking,sleep_symptom,"[""dry mouth on waking""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_b87f15704181effa,morning headache after sleep,sleep_symptom,"[""morning headache after sleep""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_58e8c8cdfcb3ab9c,nocturnal choking sensation,sleep_symptom,"[""nocturnal choking sensation""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9c65dce869e34c17,awakening gasping for air,sleep_symptom,"[""awakening gasping for air""]",Sleep-related symptom relevant to mood and emotion modeling.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_2c145e6811b83540,sleep architecture disruption,sleep_pattern,"[""sleep architecture disruption""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_a5f9b761aecbf817,circadian rhythm instability,sleep_pattern,"[""circadian rhythm instability""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_470750d9047aba6a,phase delay pattern,sleep_pattern,"[""phase delay pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_3d537e862ad6a28c,phase advance pattern,sleep_pattern,"[""phase advance pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_2e7c570faa7837a8,bimodal sleep pattern,sleep_pattern,"[""bimodal sleep pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_1b1d8bb1c5b82eba,polyphasic sleep pattern,sleep_pattern,"[""polyphasic sleep pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_1cd3007e83728b38,monophasic sleep pattern,sleep_pattern,"[""monophasic sleep pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_6de5ba125485b892,weekend-weekday sleep discrepancy,sleep_pattern,"[""weekend-weekday sleep discrepancy""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_0c808d64d2656bd6,reduced slow-wave sleep,sleep_pattern,"[""reduced slow-wave sleep""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_026edd4d86029a2f,enhanced slow-wave sleep,sleep_pattern,"[""enhanced slow-wave sleep""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_4c2993b39d4caff0,REM fragmentation,sleep_pattern,"[""REM fragmentation""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d05e79a5ff82026d,NREM fragmentation,sleep_pattern,"[""NREM fragmentation""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_3f0fec7ea9791ad1,alpha intrusion during sleep,sleep_pattern,"[""alpha intrusion during sleep""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9194cd4338c13e0b,beta hyperarousal at night,sleep_pattern,"[""beta hyperarousal at night""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_ab05bc18a044a310,low sleep spindle density,sleep_pattern,"[""low sleep spindle density""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_6bbea73cd0fa49d3,high sleep spindle density,sleep_pattern,"[""high sleep spindle density""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d443fb245abf00ce,reduced K-complex occurrence,sleep_pattern,"[""reduced K-complex occurrence""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_178c4ad65bf03ca3,frequent cortical arousals,sleep_pattern,"[""frequent cortical arousals""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_3349501695850826,long wake bouts at night,sleep_pattern,"[""long wake bouts at night""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_ab0e34d02d0a5d04,short sleep bouts,sleep_pattern,"[""short sleep bouts""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_87c09df652826bb9,high sleep variability,sleep_pattern,"[""high sleep variability""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_fa6fb0f23433c82c,low sleep regularity,sleep_pattern,"[""low sleep regularity""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_081aebd12ae4ee5c,social schedule desynchrony,sleep_pattern,"[""social schedule desynchrony""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_3905ec9339be33a9,light exposure at night,sleep_pattern,"[""light exposure at night""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_e3aefd1926de2ec7,insufficient morning light,sleep_pattern,"[""insufficient morning light""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_4cbf6ffcb0984eb8,screen-related sleep delay,sleep_pattern,"[""screen-related sleep delay""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_2a093e57af8841a0,caffeine-related sleep delay,sleep_pattern,"[""caffeine-related sleep delay""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_ffe1d5a7f11d0119,alcohol-related sleep disruption,sleep_pattern,"[""alcohol-related sleep disruption""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_1fb878a1f254e145,stress-related sleep disruption,sleep_pattern,"[""stress-related sleep disruption""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_b0b9c83793de64ca,pain-related sleep disruption,sleep_pattern,"[""pain-related sleep disruption""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_c7656d007c494f0d,noise-related sleep disruption,sleep_pattern,"[""noise-related sleep disruption""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_00f779b597a01aaa,temperature-related sleep disruption,sleep_pattern,"[""temperature-related sleep disruption""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_dd801c3c0b53131a,environmental sleep disturbance,sleep_pattern,"[""environmental sleep disturbance""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_ec704e5e62fe9dcf,caregiver sleep interruption,sleep_pattern,"[""caregiver sleep interruption""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_ed851e3376f0fc08,postpartum sleep disruption,sleep_pattern,"[""postpartum sleep disruption""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_0501da2f13193726,menopause-related sleep disturbance,sleep_pattern,"[""menopause-related sleep disturbance""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_95e0cbbe4697cc5e,adolescent delayed phase pattern,sleep_pattern,"[""adolescent delayed phase pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_2ed907755c5fc0c5,older-adult early awakening pattern,sleep_pattern,"[""older-adult early awakening pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_5f7da33e4ed16ea4,hospital-associated sleep disruption,sleep_pattern,"[""hospital-associated sleep disruption""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d18c63f49cbebdb8,ICU sleep fragmentation,sleep_pattern,"[""ICU sleep fragmentation""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_3f44ac4ab6b4496b,travel-related circadian disruption,sleep_pattern,"[""travel-related circadian disruption""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_92a11294a8311ec8,exam-period sleep restriction,sleep_pattern,"[""exam-period sleep restriction""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_a06b2ee7644fe329,workload-related sleep loss,sleep_pattern,"[""workload-related sleep loss""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_a1c3ffff92754c37,ruminative pre-sleep pattern,sleep_pattern,"[""ruminative pre-sleep pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_b9cd86b89051f7e5,anxious hypervigilant sleep pattern,sleep_pattern,"[""anxious hypervigilant sleep pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_74d60f3245bcc41c,depressive hypersomnia pattern,sleep_pattern,"[""depressive hypersomnia pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_c9e31913acfaf8b2,depressive insomnia pattern,sleep_pattern,"[""depressive insomnia pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_bbce65aa3581df21,mixed insomnia-hypersomnia pattern,sleep_pattern,"[""mixed insomnia-hypersomnia pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_8d99c70e17167ebf,stabilized sleep routine pattern,sleep_pattern,"[""stabilized sleep routine pattern""]",Sleep pattern entity for longitudinal sleep-emotion analysis.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_74fac922f4f8f5f6,wake stage,sleep_stage,"[""wake stage""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_825af354c0b557db,NREM sleep,sleep_stage,"[""NREM sleep""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_45244f1b355a22b7,stage W,sleep_stage,"[""stage W""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_e7fee27a66044bf4,stage R,sleep_stage,"[""stage R""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_2559fe63d128c0c3,micro-arousal,sleep_stage,"[""micro-arousal""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_7bc5cb514ca5e9ca,sleep cycle transition,sleep_stage,"[""sleep cycle transition""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_f9f986f4f92b15fb,first sleep cycle,sleep_stage,"[""first sleep cycle""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_8d4782b07e2422d7,late-night REM period,sleep_stage,"[""late-night REM period""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_826c8943cccfdfdf,slow-wave rebound,sleep_stage,"[""slow-wave rebound""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_e06865bd04508d0a,REM rebound,sleep_stage,"[""REM rebound""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_e1d002db914edbbf,stage transition instability,sleep_stage,"[""stage transition instability""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_4d6239b78ff34bdb,N1-N2 transition,sleep_stage,"[""N1-N2 transition""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9c7d9a0c240d82b7,N2-N3 transition,sleep_stage,"[""N2-N3 transition""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_520c65d3d7791b17,NREM-REM transition,sleep_stage,"[""NREM-REM transition""]",Sleep stage or transitional stage entity.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_b9cde001a1e90a4a,sleep efficiency,biomarker,"[""se"", ""sleep efficiency""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_b6a7b2973c47b1a4,total sleep time,biomarker,"[""total sleep time"", ""tst""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_0acb8e46882a6bed,sleep latency,biomarker,"[""sleep latency""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_661da863b707846f,wake after sleep onset,biomarker,"[""wake after sleep onset"", ""waso""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_8d9112054bdac924,arousal index,biomarker,"[""arousal index""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_b36ce974f86f7096,sleep spindle density,biomarker,"[""sleep spindle density""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_855d162a56608783,K-complex density,biomarker,"[""K-complex density""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_ca186358c0fc4551,delta power during sleep,biomarker,"[""delta power during sleep""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9f06c1c618606139,theta power during sleep,biomarker,"[""theta power during sleep""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_0180fa9ae198f6ef,alpha power during sleep,biomarker,"[""alpha power during sleep""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_691577fbfa9f368c,beta power during sleep,biomarker,"[""beta power during sleep""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_a91a35a26da991b3,REM density,biomarker,"[""REM density""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_f5acf9adb1501e5b,REM latency,biomarker,"[""REM latency""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_e0df6a4280a381ef,N3 proportion,biomarker,"[""N3 proportion""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_146366df26ea13c8,N2 proportion,biomarker,"[""N2 proportion""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_3b322a481186ecf9,N1 proportion,biomarker,"[""N1 proportion""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_f4d3baaaf1982fbc,heart rate variability during sleep,biomarker,"[""heart rate variability during sleep""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_25eff632b4cc6fe2,nocturnal cortisol level,biomarker,"[""nocturnal cortisol level""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_a3cb4fcf6fad4ef8,dim light melatonin onset,biomarker,"[""dim light melatonin onset"", ""dlmo""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_ac462158c200406b,actigraphy-derived sleep regularity,biomarker,"[""actigraphy-derived sleep regularity""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_c986c6f3534905eb,polysomnography index,biomarker,"[""polysomnography index""]",Sleep physiology biomarker supporting objective emotion-related sleep assessment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9f4939648784fae9,joy,emotion,"[""joy""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_7747c9c145c6e67a,happiness,emotion,"[""happiness""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_7aa5bd4d3bb4fca3,cheerfulness,emotion,"[""cheerfulness""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_28a3ebe8125211ac,contentment,emotion,"[""contentment""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_8dd0a18747c4436e,satisfaction,emotion,"[""satisfaction""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_cb18d9c08168c784,relief,emotion,"[""relief""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_423727bcef052f3d,gratitude,emotion,"[""gratitude""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_7f2cd8b9cfde4b62,hope,emotion,"[""hope""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_ba397d9948dd9ecd,optimism,emotion,"[""optimism""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_80f9b5ad97f83dd0,pride,emotion,"[""pride""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d60defb94595ab04,amusement,emotion,"[""amusement""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_2b86188d05498211,awe,emotion,"[""awe""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_2547f9f5569eb2a4,interest,emotion,"[""interest""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_2c27521f953099e6,curiosity,emotion,"[""curiosity""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d5a79b77339a7594,calmness,emotion,"[""calmness""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_c70d3861f176902e,serenity,emotion,"[""serenity""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_7bd881e8f27eb781,tranquility,emotion,"[""tranquility""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_43fd6d4a3e289889,compassion,emotion,"[""compassion""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d41c20abc12ce5ee,love,emotion,"[""love""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_a80510d19d3bb173,affection,emotion,"[""affection""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_8e1963a43e1eade9,warmth,emotion,"[""warmth""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_cfe4a33ed14fd5d5,trust,emotion,"[""trust""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_83eb6ef7367a927d,confidence,emotion,"[""confidence""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_f286c7057e0a8605,self-confidence,emotion,"[""self-confidence""]",Emotion-related entity for affective recognition and depression KG expansion.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
